"TRE_CN","PREV_TRE_CN","PLT_CN","STATECD","SPCD","DIA","DIAHTCD","TREE_SIZE","TREECLCD","SUBPTYP","VOLCFSND","VOLCFNET","VOLCSNET","VOLBFNET","REGIONAL_DRYBIOT","REGIONAL_DRYBIOM","REGIONAL_DRYBIOSL","DRYBIO_BG","DRYBIO_AG","DRYBIO_WDLD_SPP","DRYBIO_SAPLING","DRYBIO_STUMP","DRYBIO_BOLE","DRYBIO_SAWLOG","DRYBIO_TOP","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"31294216020004","73966702010538","222443685010661",39,681,7.7,1,"SMALL",3,1,4.09323,3.333661,,,318.206622,282.172656,,4.33111613403522454873626449645654961898E01,2.2023927136432229763299435553315005971E02,,,1.48044285653407151993149691499076941729E01,153.339416508096,,5.20954262908855824336793863832423655368E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"31294217020004","73966704010538","222443685010661",39,681,5.1,1,"SMALL",3,1,1.062529,0.909174,,,119.345689,105.830891,,1.29886986764190552321658082994087842047E01,6.44080596475847610119451975611801250991E01,,,5.30429993571335001170271989537043278763E00,39.8041587897408,,1.92996009221306110002424776658096923114E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"31291998020004","73959845010538","222443709010661",39,833,8.73,1,"SMALL",2,1,7.653738,7.271051,,,519.017929,460.243935,,9.07854760690719902009071330258842301679E01,4.64303938583025481523606336758366601879E02,,,2.36462607670744938842730670398583270201E01,332.4049028352,,1.08252774980750987639333269718508274859E02,"",2019-06-13,"126144","",2019-06-13,"126144"
"31288754020004","73983710010538","222443729010661",39,541,17.6,1,"LARGE",2,1,58.931717,51.193209,43.514228,250.514251,2409.064659,2179.395238,1.85248596720018594653833870816732742814E03,5.57110799730046218236422333420770574703E02,2.91074109346513366218191459230628907537E03,,,1.36163368117546428649258801106686065434E02,2316.723658704,1.71108506429035384579405378374052539687E03,4.57854066643587233532655791199603009939E02,"",2019-06-13,"126144","",2019-06-13,"126144"
"31288755020004","73983712010538","222443729010661",39,541,10.7,1,"SMALL",2,1,16.548031,15.54512,,,830.428037,736.389719,,1.69619889991388930216811914653239964651E02,8.74320996592726668893970610246584768395E02,,,5.21172838149997371904972067542861040816E01,650.536194672,,1.71667518105726931703473403492298664313E02,"",2019-06-13,"126144","",2019-06-13,"126144"
"31279847020004","73988363010538","222444711010661",39,762,6,1,"SMALL",2,1,2.896084,2.749817,,,192.700195,170.878674,,2.92053538490809688708876011171340241417E01,1.4646064465077604565075420596737642238E02,,,1.05049544516368245568212687080418363368E01,95.410630139136,,4.05450600600032210939329372593345860431E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"31279875020004","73988558010538","222444715010661",39,823,10.5,1,"SMALL",2,1,14.271764,13.11849,,,916.267473,812.50863,,1.55347826317422687603517786413861392909E02,8.00225756700500010887744075692481730254E02,,,3.76151421591177174087181162047492131641E01,593.46790024704,,1.6914271429434229347902595948773251709E02,"",2019-06-13,"126144","",2019-06-13,"126144"
"31279880020004","73988568010538","222444715010661",39,804,5.5,1,"SMALL",2,1,1.937101,1.858834,,,162.721688,144.294958,,2.78391683363287147938042499784925891013E01,1.38805154541183311786492700057969374611E02,,,9.49494678028817377927562242206603384535E00,87.9970745472,,4.13131332136951380072170776359033407661E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"31280128020004","73989065010538","222444717010661",39,531,5.41,1,"SMALL",3,1,1.376283,1.161238,,,205.417726,182.156062,,1.64146456676945311186763340535143682485E01,8.17482063496720171860841515400703404746E01,,,5.1343455956977872673909901677000224975E00,51.54521153184,,2.50686492221342299186931613723703179771E01,"",2019-06-13,"126144","",2019-06-13,"126144"
"31280136020004","73989081010538","222444717010661",39,972,7.6,1,"SMALL",2,1,4.885295,4.589217,,,308.457522,273.527552,,4.50801004088877158709628565240599910924E01,2.2908739659625905385012176618614917387E02,,,1.35916099055388721170620353816103090517E01,159.0058000128,,5.64899866779201817330597308045388648183E01,"",2019-06-13,"126144","",2019-06-13,"126144"
