"CN","STATECD","INVYR","UNITCD","COUNTYCD","PLOT","LAT","LON","CONGCD","ECOSUBCD","HUC","EMAP_HEX","FIPSCOUNTY","ROADLESSCD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","ALP_ADFORCD","FVS_VARIANT","FVS_LOC_CD","FVS_REGION","FVS_FOREST","FVS_DISTRICT"
"19110876010661",39,1991,1,15,40,38.88896,-83.99993,3902," 222Hc",5090201,5428,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110878010661",39,1991,1,15,41,39.19451,-83.9166,3902," 222Hc",5090202,5426,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110880010661",39,1991,1,15,42,39.0834,-83.9166,3902," 222Hc",5090201,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110882010661",39,1991,1,15,43,38.97229,-83.94437,3902," 222Hc",5090202,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110884010661",39,1991,1,15,44,38.8334,-83.97215,3902," 222Hc",5090201,5428,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110886010661",39,1991,1,15,45,39.13895,-83.86104,3902," 222Hc",5090201,5426,39071,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110888010661",39,1991,1,15,46,39.02784,-83.88882,3902," 222Hc",5090201,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110890010661",39,1991,1,15,47,38.91674,-83.88882,3902," 222Hc",5090201,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110892010661",39,1991,1,15,48,38.97229,-83.86104,3902," 222Hc",5090201,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110894010661",39,1991,1,15,49,38.86118,-83.88882,3902," 222Hc",5090201,5286,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110896010661",39,1991,1,15,50,38.94451,-83.83326,3902," 222Hc",5090201,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110898010661",39,1991,1,15,51,38.8334,-83.86104,3902," 222Hc",5090201,5286,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110900010661",39,1991,1,15,52,38.91674,-83.7777,3902," 222Hc",5090201,5286,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110902010661",39,1991,1,15,53,38.77785,-83.83326,3902," 222Hc",5090201,5286,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110904010661",39,1991,1,15,54,38.91674,-83.74992,3902," 222Hc",5090201,5286,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110906010661",39,1991,1,15,55,38.80563,-83.7777,3902," 222Hc",5090201,5286,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110908010661",39,1991,1,15,56,38.94451,-83.72215,3902," 222Hc",5090201,5286,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110910010661",39,1991,1,15,57,38.80563,-83.74992,3902," 222Hc",5090201,5286,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110912010661",39,1991,1,15,58,38.94451,-83.69437,3902," 222Hc",5090201,5286,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110914010661",39,1991,1,15,59,38.63896,-83.72214,3902," 223Fd",5090201,5287,21161,"","",2019-07-18,126144,"",2019-08-20,126144,,"SN",80211,8,2,11
"19110916010661",39,1991,1,15,60,39.19451,-83.99993,3902," 222Hc",5090202,5569,39025,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110918010661",39,1991,1,15,61,38.88896,-83.99993,3902," 222Hc",5090201,5428,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110920010661",39,1991,1,15,62,39.11118,-83.88882,3902," 222Hc",5090201,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110922010661",39,1991,1,15,63,38.97229,-83.83326,3902," 222Hc",5090201,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110924010661",39,1991,1,15,64,38.88896,-83.7777,3902," 222Hc",5090201,5286,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110971010661",39,1991,1,15,65,38.94451,-83.94437,3902," 222Hc",5090201,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19110973010661",39,1991,1,15,70,38.77785,-83.97215,3902," 223Fd",5090201,5428,21023,"","",2019-07-18,126144,"",2019-08-20,126144,,"SN",80211,8,2,11
"19111022010661",39,1991,1,15,78,38.94451,-83.69437,3902," 222Hc",5090201,5286,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19111072010661",39,1991,1,15,82,39.19451,-83.97215,3902," 222Hc",5090202,5426,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19111074010661",39,1991,1,15,83,39.02784,-83.97215,3902," 222Hc",5090202,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19111077010661",39,1991,1,15,84,39.00007,-83.97215,3902," 222Hc",5090202,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19111095010661",39,1991,1,15,85,39.00007,-83.86104,3902," 222Hc",5090201,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19111134010661",39,1991,1,15,86,39.00007,-83.80548,3902," 222Hc",5090201,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19111136010661",39,1991,1,15,87,38.86118,-83.7777,3902," 222Hc",5090201,5286,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19111138010661",39,1991,1,15,88,39.00007,-83.97215,3902," 222Hc",5090202,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19111180010661",39,1991,1,15,89,38.86118,-83.83326,3902," 222Hc",5090201,5286,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19111230010661",39,1991,1,15,90,38.94451,-83.69437,3902," 222Hc",5090201,5286,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19111261010661",39,1991,1,15,91,38.94451,-83.97215,3902," 222Hc",5090201,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19111316010661",39,1991,1,15,92,38.72229,-83.83326,3902," 223Fd",5090201,5287,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19111369010661",39,1991,1,15,93,38.88896,-83.80548,3902," 222Hc",5090201,5286,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19111418010661",39,1991,1,15,94,38.91674,-83.83326,3902," 222Hc",5090201,5286,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19111420010661",39,1991,1,15,95,39.00007,-83.9166,3902," 222Hc",5090201,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19111422010661",39,1991,1,15,96,39.13895,-83.99993,3902," 222Hc",5090202,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19111424010661",39,1991,1,15,97,39.11118,-83.97215,3902," 222Hc",5090202,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19111426010661",39,1991,1,15,98,39.22228,-83.88882,3902," 222Hc",5090202,5426,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
"19111428010661",39,1991,1,15,99,38.91674,-83.94437,3902," 222Hc",5090201,5427,39015,"","",2019-07-18,126144,"",2019-07-18,126144,,"NE",914,9,14,
