,plot_phase_2_plot_number,plot_state_code,plot_county_code,measurement_year,measurement_month,latitude,longitude,species_code,avg_height,avg_diameter,total_height,date,fips_code,nearest_station,mean_temp,mean_dwp,mean_prcp
11767,5,21,183,2000.0,10.0,37.566436767578125,-86.82626342773438,611,78.25,12.074999809265137,313.0,2000-10-01,21_183,724237,,,
11768,61,37,81,2000.0,9.0,36.16127395629883,-79.79466247558594,611,44.33333333333333,4.850000023841858,266.0,2000-09-01,37_81,723170,,,
11769,3,51,89,2000.0,11.0,36.688175201416016,-79.9017333984375,316,52.5,8.975000023841858,210.0,2000-11-01,51_89,745985,,,
11770,38,51,11,2000.0,8.0,37.488338470458984,-78.87351989746094,802,62.64705882352941,8.605882406234741,1065.0,2000-08-01,51_11,724100,,,
11771,24,13,115,2000.0,9.0,34.358985900878906,-85.25932312011719,131,28.517241379310345,4.644827596072493,827.0,2000-09-01,13_115,723200,,,
11772,12,13,189,2000.0,9.0,33.610145568847656,-82.5387191772461,131,75.66666666666667,12.280000098546347,1135.0,2000-09-01,13_189,722181,,,
11773,20,13,43,2000.0,9.0,32.386497497558594,-82.16671752929688,131,41.24489795918368,7.638775475171148,2021.0,2000-09-01,13_43,722090,,,
11774,10,13,193,2000.0,5.0,32.48582458496094,-84.00222778320312,316,40.25,4.087499961256981,322.0,2000-05-01,13_193,722170,,,
11775,54,13,281,2000.0,4.0,34.85116958618164,-83.7435531616211,491,39.0,3.800000031789144,117.0,2000-04-01,13_281,723048,,,
11776,15,47,185,2000.0,8.0,35.855953216552734,-85.26011657714844,611,94.25,15.5,377.0,2000-08-01,47_185,723240,,,
11777,27,47,81,2000.0,1.0,35.84001922607422,-87.47539520263672,802,70.78947368421053,9.221052696830348,1345.0,2000-01-01,47_81,746710,,,
11778,146,1,125,2000.0,1.0,33.07090377807617,-87.8113021850586,131,42.36363636363636,6.681818138469349,466.0,2000-01-01,1_125,722286,,,
11779,55,1,15,2000.0,12.0,33.83171463012695,-85.91302490234375,131,76.15789473684211,12.426923022820398,1447.0,2000-12-01,1_15,722285,,,
11780,24,45,55,2000.0,7.0,34.56771469116211,-80.49049377441406,131,11.166666666666668,1.5,67.0,2000-07-01,45_55,747900,,,
11781,35,45,15,2000.0,3.0,33.225250244140625,-79.9380874633789,131,92.38461538461537,14.37692326765794,1201.0,2000-03-01,45_15,722080,,,
11782,14,45,17,2000.0,7.0,33.79972839355469,-80.96092224121094,131,84.0,17.25,168.0,2000-07-01,45_17,723104,,,
